epoch,accuracy,loss,val_accuracy,val_loss
0,0.8895739912986755,0.5564001798629761,0.9408414363861084,0.2500620484352112
1,0.952664852142334,0.19648301601409912,0.9583173394203186,0.1655515879392624
2,0.9623563885688782,0.1466202586889267,0.9646960496902466,0.13445402681827545
3,0.9662801027297974,0.1246076449751854,0.9672360420227051,0.11908082664012909
4,0.9689998626708984,0.11097639799118042,0.9698863625526428,0.10688123852014542
5,0.9709256291389465,0.10216914117336273,0.9706357717514038,0.10229676216840744
6,0.9726779460906982,0.0950445756316185,0.9741600751876831,0.09097439795732498
7,0.9748791456222534,0.08766726404428482,0.9756159782409668,0.08609563112258911
8,0.9763872623443604,0.08197881281375885,0.9763914346694946,0.08113425225019455
9,0.9774040579795837,0.07752161473035812,0.9771734476089478,0.07787618786096573
10,0.9783748984336853,0.07351366430521011,0.9785446524620056,0.07306603342294693
11,0.9750760197639465,0.0866541638970375,0.9750577211380005,0.08626401424407959
12,0.9776614308357239,0.07606679946184158,0.978404700756073,0.0734095498919487
13,0.9794286489486694,0.06935937702655792,0.9793990850448608,0.06940507888793945
14,0.9803280830383301,0.06579338014125824,0.9803236126899719,0.06594415754079819
15,0.9816266894340515,0.06130792573094368,0.9819004535675049,0.06080519035458565
16,0.9829891920089722,0.056897878646850586,0.9828190803527832,0.0579734705388546
17,0.9840047359466553,0.053516846150159836,0.983484148979187,0.05518489331007004
18,0.9848056435585022,0.050671227276325226,0.9842150807380676,0.05252658203244209
19,0.9856215119361877,0.04776480793952942,0.9849721789360046,0.0497833676636219
20,0.9861977696418762,0.04557419195771217,0.984947919845581,0.04951634630560875
21,0.9869131445884705,0.04310367628931999,0.9868032932281494,0.04393811151385307
22,0.9874489903450012,0.04110918939113617,0.9872668385505676,0.04208444803953171
23,0.98810875415802,0.03883443400263786,0.9875649213790894,0.04094298928976059
24,0.9887152314186096,0.03675369173288345,0.9877976775169373,0.03991291671991348
25,0.9890953302383423,0.035317353904247284,0.9883577227592468,0.03815685212612152
26,0.9895671010017395,0.03371540084481239,0.9889712929725647,0.036141932010650635
27,0.9899985194206238,0.0322439968585968,0.9891954660415649,0.035088442265987396
28,0.9903275370597839,0.031104955822229385,0.9896647334098816,0.03364044800400734
29,0.9906595945358276,0.02994390018284321,0.9896324276924133,0.03349154442548752
30,0.9909825325012207,0.028827641159296036,0.9901654124259949,0.03188735246658325
31,0.991146981716156,0.028213078156113625,0.9903152585029602,0.0313919298350811
32,0.9914201498031616,0.02728772535920143,0.9905185699462891,0.03080764040350914
33,0.991744875907898,0.02620530128479004,0.9905241131782532,0.03059893473982811
34,0.991888165473938,0.025745701044797897,0.9906734228134155,0.030078601092100143
35,0.9922223091125488,0.024630621075630188,0.9910030961036682,0.02911721169948578
36,0.9924004077911377,0.02398846298456192,0.991007387638092,0.029011977836489677
37,0.992633044719696,0.023216528818011284,0.9911671280860901,0.028463706374168396
38,0.9926967620849609,0.02292480133473873,0.9913681149482727,0.027682995423674583
39,0.9930393695831299,0.021854879334568977,0.9914506673812866,0.027377435937523842
40,0.9932126998901367,0.021298769861459732,0.991619348526001,0.02693236991763115
41,0.9932675957679749,0.021037636324763298,0.9916900396347046,0.026652149856090546
42,0.9934700131416321,0.020364856347441673,0.9918985366821289,0.026077503338456154
43,0.9936501383781433,0.01977858692407608,0.9920018911361694,0.025679728016257286
44,0.9936889410018921,0.019591648131608963,0.9919507503509521,0.02591942809522152
45,0.9938080310821533,0.019206296652555466,0.9918264150619507,0.026217123493552208
46,0.994012176990509,0.018592648208141327,0.991969645023346,0.02587779425084591
47,0.9942073822021484,0.017970195040106773,0.9918354153633118,0.026337485760450363
48,0.9942591190338135,0.017786486074328423,0.992077112197876,0.02552064321935177
49,0.9943779110908508,0.017344852909445763,0.9923558235168457,0.024638311937451363
50,0.9944735169410706,0.017078302800655365,0.9925623536109924,0.024079881608486176
51,0.9946461915969849,0.0165251474827528,0.9925388693809509,0.02415076456964016
52,0.9946966171264648,0.01635092869400978,0.9926183223724365,0.02376042678952217
53,0.9947440028190613,0.016130805015563965,0.9925178289413452,0.02416076883673668
54,0.9947635531425476,0.016030609607696533,0.9926793575286865,0.023700501769781113
55,0.9950219392776489,0.015294777229428291,0.9925605654716492,0.024100404232740402
56,0.995181679725647,0.014820427633821964,0.992832601070404,0.023301098495721817
57,0.9952157735824585,0.014645873568952084,0.9927825331687927,0.023486517369747162
58,0.9953525066375732,0.014252298511564732,0.99250727891922,0.024588262662291527
59,0.9949597716331482,0.01539936289191246,0.9926323294639587,0.024216601625084877
60,0.9953063726425171,0.014271044172346592,0.9923920631408691,0.025193246081471443
61,0.9955142736434937,0.013707379810512066,0.9924826622009277,0.025125639513134956
62,0.9956761598587036,0.013217086903750896,0.9918116927146912,0.028320930898189545
63,0.995613157749176,0.013426362536847591,0.9930117130279541,0.023172182962298393
64,0.9958253502845764,0.012763523496687412,0.9930377006530762,0.023106038570404053
